,Address,Year,Flats,Entrance,Height,Square,Latitude,Longitude,Flats_per_floor,Street
151,"пр-кт энгельса, 21 литер а",1956,128,7,6,8993.78,60.002845,30.328579,3.0476190476190474,пр-кт энгельса
152,"ул. кораблестроителей, 46 корпус 1 литер б",1979,276,4,14,9087.0,59.956516,30.232316,4.928571428571429,ул. кораблестроителей
153,"пр-кт энгельса, 93 литер а",2004,795,9,26,36918.41,60.025012,30.321887,3.3974358974358974,пр-кт энгельса
154,"ул. кибальчича, 18 литер г",1964,89,6,5,4079.96,59.863378,30.439845,2.966666666666667,ул. кибальчича
155,"17-я в.о. линия, 30/66 литер а",1898,8,2,3,725.21,59.93914,30.26585,1.3333333333333333,17-я в.о. линия
156,"ул. бестужевская, 29 литер а",1940,18,3,3,1491.55,59.982487,30.408251,2.0,ул. бестужевская
157,"ул. тамбасова, 4 корпус 2 литер в",1974,251,7,9,12891.4,59.84164,30.162175,3.984126984126984,ул. тамбасова
158,"ул. большая зеленина, 8 литер а",1901,14,2,4,903.1,59.959877,30.294389,1.75,ул. большая зеленина
159,"ул. зверинская, 7-9 литер а",1901,58,9,5,4855.34,59.953133,30.295225,1.288888888888889,ул. зверинская
160,"ул. александра блока, 10 литер а",1930,56,5,4,3730.8,59.923834,30.277151,2.8,ул. александра блока
161,"ул. белышева, 8 корпус 1 литер о",1978,260,7,9,14623.8,59.910492,30.45658,4.126984126984127,ул. белышева
162,"5-я в.о. линия, 64/13 литер а",1913,62,7,6,7212.0,59.947879,30.276064,1.4761904761904765,5-я в.о. линия
163,"пр-кт гражданский, 113 корпус 2 литер а",1971,134,9,5,6417.6,60.029872,30.419722,2.977777777777778,пр-кт гражданский
164,"пр-кт дачный, 13 литер а",1969,84,2,12,4148.0,59.845098,30.247407,3.5,пр-кт дачный
165,"ш. петергофское, 76 корпус 15 литер а",2007,8,1,4,646.2,59.843792,30.114915,2.0,ш. петергофское
166,"ул. подольская, 50 литер б",1983,4,1,2,221.8,59.912549,30.328687,2.0,ул. подольская
167,"ул. 2-я советская, 25/2 литер а",1934,104,7,7,6218.3,59.931093,30.369722,2.122448979591837,ул. 2-я советская
168,"ул. благодатная, 16 литер а",1958,67,5,5,4366.0,59.876003,30.314646,2.68,ул. благодатная
169,"пр-кт большеохтинский, 6 литер а",1967,224,4,9,11946.9,59.950001,30.409275,6.222222222222222,пр-кт большеохтинский
170,"ул. кибальчича, 14 литер у",1966,45,1,9,1281.42,59.864539,30.438991,5.0,ул. кибальчича
171,"пр-кт ленинский, 108 корпус 1 литер а",2008,154,3,12,10879.0,59.852484,30.231912,4.277777777777778,пр-кт ленинский
